time,voltage
1000,4.98
1100,4.92
1201,4.87
1301,4.82
1402,4.77
1503,4.71
1603,4.67
1703,4.62
1805,4.56
1905,4.52
2006,4.48
2106,4.42
2207,4.38
2308,4.34
2408,4.29
2508,4.25
2610,4.20
2710,4.16
2810,4.11
2911,4.07
3012,4.03
3112,3.99
3213,3.94
3313,3.91
3415,3.87
3515,3.83
3615,3.78
3716,3.75
3817,3.71
3917,3.67
4018,3.63
4118,3.60
4219,3.55
4320,3.52
4420,3.49
4520,3.45
4622,3.41
4722,3.39
4823,3.34
4923,3.31
5024,3.28
5125,3.24
5225,3.21
5325,3.18
5427,3.14
5527,3.12
5627,3.08
5728,3.05
5829,3.02
5929,2.99
6030,2.96
6130,2.93
6232,2.90
6332,2.87
6432,2.84
6533,2.81
6634,2.78
6734,2.75
6835,2.72
6935,2.70
7035,2.67
7137,2.65
7237,2.62
7337,2.59
7438,2.56
7539,2.53
7640,2.51
7740,2.49
7840,2.46
7942,2.44
8042,2.41
8142,2.38
8243,2.36
8344,2.34
8444,2.32
8545,2.29
8645,2.27
8747,2.24
8847,2.23
8947,2.20
9048,2.18
9149,2.15
9249,2.13
9350,2.11
9450,2.09
9551,2.07
9652,2.05
9752,2.03
9852,2.01
9954,1.99
10054,1.97
10155,1.94
10256,1.93
10356,1.91
10457,1.88
10557,1.87
10658,1.85
10759,1.83
10859,1.81
10960,1.80
11061,1.78
11161,1.76
11261,1.74
11363,1.72
11463,1.70
11564,1.69
11665,1.67
11765,1.66
11866,1.64
11966,1.62
12067,1.61
12168,1.59
12268,1.57
12369,1.55
12470,1.54
12570,1.52
12672,1.51
12772,1.49
12872,1.48
12973,1.46
13074,1.45
13174,1.44
13275,1.42
13376,1.41
13476,1.39
13577,1.38
13677,1.36
13778,1.35
13879,1.34
13979,1.32
14081,1.31
14181,1.29
14281,1.28
14383,1.27
14483,1.25
14583,1.25
14684,1.24
14785,1.22
14885,1.21
14986,1.20
15087,1.18
15187,1.17
15288,1.16
15388,1.15
15490,1.14
15590,1.12
15690,1.11
15792,1.10
15892,1.09
15992,1.08
16093,1.07
16194,1.06
16294,1.05
16395,1.04
16496,1.03
16596,1.02
16697,1.01
16797,1.00
16899,0.99
16999,0.98
17099,0.97
17201,0.96
17301,0.95
17401,0.94
17502,0.93
17603,0.92
17703,0.91
17804,0.90
17905,0.89
18006,0.88
18106,0.87
18206,0.86
18308,0.86
18408,0.85
18508,0.84
18610,0.83
18710,0.82
18810,0.82
18912,0.81
19012,0.80
19112,0.79
19213,0.78
19314,0.78
19415,0.77
19515,0.76
19616,0.75
19717,0.74
19817,0.74
19917,0.73
20019,0.72
20119,0.71
20219,0.70
20321,0.70
20421,0.69
20521,0.68
20622,0.68
20723,0.67
20824,0.66
20924,0.66
21025,0.65
